Amaterasu,ɑːmətɛɹˈɑːsuː,,['proper noun']
Amati,ɑ.mɑ.ti,,['proper noun']
Amazon,ˈæm.ə.zən,,['proper noun']
Amazonian,æməˈzoʊni.ən,,['proper noun']
Amber,ˈæm.bə,,['proper noun']
Amelia,əˈmiːli.ə,,['proper noun']
Amen,ˈaːmən,,['proper noun']
Amer,âmer,,['proper noun']
America,əˈmɛɹ.ɪ.kə,,['proper noun']
American,əˈmɛɹ.ɪ.kən,,['proper noun']
Americana,əˌmɛɹɪˈkænə,,['proper noun']
Americas,əˈmɛɹɪkəz,,['proper noun']
Amerind,ˈæ.mə.ɹɪnd,,['proper noun']
Amerindian,ˌæməˈɹɪndi.ən,,['proper noun']
Ames,eɪmz,,['proper noun']
Amharic,æmˈhæɹɪk,,['proper noun']
Amish,ˈɑː.mɪʃ,,['proper noun']
Amman,əˈmɑːn,,['proper noun']
Amos,ˈeɪ.məs,,['proper noun']
Ampere,amˈpeːɐ̯,,['proper noun']
Amsterdam,ˌæmstəˈdæm,,['proper noun']
Amur,ˈamur,,['proper noun']
Amy,ˈeɪ.mi,,['proper noun']
Ana,ˈɐ̃.nɐ,,['proper noun']
Anacreon,əˈnækɹiən,,['proper noun']
Anaheim,ˈænəhaɪm,,['proper noun']
Ananias,ænəˈnaɪəs,,['proper noun']
Anastasia,æn.ə.ˈsteɪ.ʒə,,['proper noun']
Anatole,ˈænətoʊl,,['proper noun']
Anatolia,ˌænəˈtəʊli.ə,,['proper noun']
Anatolian,anəˈtəʊlɪən,,['proper noun']
Anaxagoras,ˈanaksaɡoras,,['proper noun']
Anchorage,ˈæŋ.kə.ɹɪdʒ,,['proper noun']
Andalusia,ˌændəˈluːsi.ə,,['proper noun']
Andaman,ˈæn.də.mən,,['proper noun']
Andean,ænˈdiː.ən,,['proper noun']
Andersen,ˈændə(ɹ)sən,,['proper noun']
Anderson,ˈæn.dɚ.sən,,['proper noun']
Andes,ˈæn.diːz,,['proper noun']
Andorra,ænˈdɔː.ɹə,,['proper noun']
Andorran,ænˈdɔːɹən,,['proper noun']
Andre,ˈɑːn.dɹeɪ,,['proper noun']
Andrea,ˈændɹi.ə,,['proper noun']
Andres,ˈʔandɾes,,['proper noun']
Andrew,ˈæn.dɹuː,,['proper noun']
Andrews,ˈæn.dɹuz,,['proper noun']
Andromache,ænˈdɹɒməki,,['proper noun']
Andromeda,ænˈdɹɒmɪdə,,['proper noun']
Andy,ˈæn.di,,['proper noun']
Angel,ˈeɪn.dʒəl,,['proper noun']
Angela,ˈændʒələ,,['proper noun']
Angelina,ˌænd͡ʒəˈliːnə,,['proper noun']
Angeline,ɑ̃ʒ.lin,,['proper noun']
Angelo,ˈæn.dʒə.loʊ,,['proper noun']
Angie,ˈæn.dʒi,,['proper noun']
Angle,ˈæŋ.ɡəl,,['proper noun']
Angles,ˈaŋ.ɡləs,,['proper noun']
Anglia,ˈɒŋɡlijɒ,,['proper noun']
Anglican,ˈæŋ.ɡlɪ.kən,,['proper noun']
Anglicans,ˈæŋ.ɡlɪ.kənz,,['proper noun']
Anglophobe,ˈaŋ.ɡlə(ʊ).fəʊb,,['proper noun']
Angola,æŋˈɡəʊlə,,['proper noun']
Angolan,æŋˈɡoʊlən,,['proper noun']
Angora,anˈɡoɾa,,['proper noun']
Anguilla,æŋˈɡwɪlə,,['proper noun']
Angus,ˈæŋ.ɡəs,,['proper noun']
Anita,aˈni.ta,,['proper noun']
Ankara,ˈæŋ.kə.ɹə,,['proper noun']
Ann,æn,,['proper noun']
Anna,ˈænə,,['proper noun']
Annabel,ˈænəbɛl,,['proper noun']
Annabelle,ˈænəbɛl,,['proper noun']
Annam,a.nam,,['proper noun']
Annapolis,əˈnæpəlɨs,,['proper noun']
Anne,æn,,['proper noun']
Annette,əˈnɛt,,['proper noun']
Annie,ˈæni,,['proper noun']
Anselm,ˈanˌsɛlm,,['proper noun']
Anselmo,anˈsɛl.mo,,['proper noun']
Antananarivo,antananaˈrivo,,['proper noun']
Antarctic,ænˈtɑː(k)tɪk,,['proper noun']
Antarctica,ˌænˈtɑː(k)tɪkə,,['proper noun']
Antares,anˈta.rɛs,,['proper noun']
Anthony,ˈæn.tə.ni,,['proper noun']
