a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
humor,ˈhjuːmɚ,,"['verb', 'noun']"
humorous,ˈhjuːməɹəs,,['adjective']
humors,ˈxumɔrs,,"['verb', 'noun']"
hump,hʌmp,,"['verb', 'noun']"
humpback,ˈhʌmpbæk,,"['verb', 'noun']"
humped,hʌmpt,,"['verb', 'adjective']"
humph,hʌmf,,"['verb', 'interjection']"
humping,ˈhʌmpɪŋ,,"['verb', 'noun']"
humps,hʌmps,,"['verb', 'noun']"
hums,hʌmz,,"['verb', 'noun']"
humus,ˈhjuːməs,,['noun']
hunch,hʌntʃ,,"['verb', 'noun']"
hunchback,ˈhʌntʃbæk,,['noun']
hunched,hʌntʃt,,['verb']
hunches,ˈhʌntʃɪz,,"['verb', 'noun']"
hunching,ˈhʌntʃɪŋ,,"['verb', 'noun']"
hundred,ˈhandred,,"['adjective', 'noun']"
hundredfold,ˈhundrɛdˌfɔːld,,"['verb', 'adverb', 'adjective']"
hundreds,ˈhʌndɹədz,,['noun']
hundredth,ˈhʌndɹədθ,,"['adjective', 'noun']"
hung,ˈhʌŋ,,"['verb', 'adverb', 'noun', 'adjective']"
hunger,ˈhʌŋɡə,,"['verb', 'noun']"
hungover,ˈhʌŋˌəʊvə(ɹ),,['adjective']
hungry,ˈhʌŋɡɹi,,"['adjective', 'noun']"
hunk,hʌŋk,,['noun']
hunker,ˈhʌŋkə,,"['verb', 'noun']"
hunks,hʌŋks,,['noun']
hunky,ˈhʌŋki,,"['adjective', 'noun']"
hunt,hʌnt,,"['verb', 'noun']"
hunted,ˈhʌntɪd,,"['verb', 'adjective']"
hunter,ˈhʌntɚ,,['noun']
hunters,ˈhʌntɚz,,['noun']
hunting,ˈhʌntɪŋ,,"['verb', 'noun']"
huntress,ˈhʌntɹɪs,,['noun']
hunts,hʌnts,,"['verb', 'noun']"
hurdle,ˈhɜːdəl,,"['verb', 'noun']"
hurl,hɝl,,"['verb', 'noun']"
hurled,hɝld,,['verb']
hurler,yʁle,,"['verb', 'noun']"
hurrah,həˈɹɑː,,"['verb', 'interjection', 'noun']"
hurricane,ˈhʌɹɪkən,,['noun']
hurried,ˈhʌɹid,,"['verb', 'adjective']"
hurriedly,ˈhɝɪdli,,['adverb']
hurry,ˈhʌɹi,,"['verb', 'noun']"
hurrying,ˈhʌɹiɪŋ,,"['verb', 'noun']"
hurt,hɜːt,,"['verb', 'adjective', 'noun']"
hurtle,hɜːtl̩,,"['verb', 'noun']"
hurts,hɜːts,,"['verb', 'noun']"
husband,ˈhʌzbənd,,"['verb', 'noun']"
husbandman,ˈhəzbəndmən,,['noun']
husbandry,ˈhʌzb(ə)ndɹi,,['noun']
husbands,ˈhʌzbəndz,,"['verb', 'noun']"
hush,hʌʃ,,"['verb', 'interjection', 'noun']"
hushed,hʌʃt,,"['verb', 'adjective']"
husk,hʌsk,,"['verb', 'noun']"
husked,hʌskt,,"['verb', 'adjective']"
husker,ˈhʌskɚ,,"['verb', 'noun']"
huskies,ˈhʌskiz,,['noun']
husking,ˈhʌskɪŋ,,"['verb', 'noun']"
husks,hʌsks,,"['verb', 'noun']"
husky,ˈhʌski,,"['adjective', 'noun']"
hussar,ˈhʌsə(ɹ),,['noun']
hussy,ˈhʌsi,,['noun']
hustings,ˈhʌstɪŋz,,['noun']
hustle,ˈhʌsəl,,"['verb', 'noun']"
hustler,ˈhʌsləɹ,,['noun']
hut,hʌt,,"['verb', 'adverb', 'interjection', 'noun']"
hutch,hʌtʃ,,"['verb', 'noun']"
huts,hʌts,,"['verb', 'adjective', 'noun']"
huzzah,həˈzɑː,,"['verb', 'interjection', 'noun']"
hwy,xwyː,,"['pronoun', 'adverb', 'noun', 'adjective']"
hyacinth,ˈhaɪəsɪnθ,,['noun']
hybrid,ˈhaɪbɹɪd,,"['adjective', 'noun']"
hybridization,haɪbɹɪdaɪˈzeɪʃən,,['noun']
hybridize,ˈhaɪbɹɪdaɪz,,['verb']
hydra,ˈhaɪdɹə,,['noun']
hydrangea,haɪˈdɹeɪnd͡ʒə,,['noun']
hydrant,ˈhaɪdɹənt,,['noun']
hydrate,ˈhaɪdɹeɪt,,"['verb', 'noun']"
hydrates,idʁat,,"['verb', 'noun']"
hydration,haɪˈdɹeɪʃən,,['noun']
hydraulic,haɪˈdɹɒlɪk,,"['verb', 'adjective']"
hydraulics,haɪˈdɹɒlɪks,,['noun']
hydrocortisone,ˌhʌɪdɹə(ʊ)ˈkɔːtɪzəʊn,,['noun']
hydrofoil,ˈhɑedɹəˌfoɪl,,['noun']
hydrogen,ˈhaɪdɹədʒ(ə)n,,['noun']
hydrogenate,haɪˈdrɒdʒəneɪt,,['verb']
hydrogenation,eɪʃə,,['noun']
hydrogenous,haɪˈdɹɑdʒənəs,,['adjective']
hydrologist,haɪˈdɹɒlədʒɪst,,['noun']
hydrology,ɒlədʒ,,['noun']
hydrolysis,haɪˈdɹɒlɪsɪs,,['noun']
hydrometer,haɪˈdɹɑːmɪtɚ,,['noun']
hydrophobia,ˌhʌɪdɹə(ʊ)ˈfəʊbɪə,,['noun']
hydrophobic,haɪdɹəˈfəʊbɪk,,['adjective']
hydroplane,ˈhaɪdɹəʊˌpleɪn,,"['verb', 'noun']"
hydroponic,hʌɪdɹəˈpɒnɪk,,['adjective']
hydroponics,ˌhaɪdɹə(ʊ)ˈpɒnɪks,,['noun']
hydrous,ˈhaɪdɹəs,,['adjective']
hydroxide,haɪˈdɹɒksaɪd,,['noun']
hyena,haɪˈiːnə,,['noun']
hygiene,ˈhaɪˌdʒiːn,,['noun']
hygienic,haɪˈdʒiːnɪk,,['adjective']
hygrometer,ɒmɪtə(ɹ,,['noun']
hymen,ˈhaɪmən,,['noun']
hymeneal,hʌɪməˈniːəl,,"['adjective', 'noun']"
hymn,hɪm,,"['verb', 'noun']"
hymnal,ˈhɪmnəl,,"['adjective', 'noun']"
hype,haɪp,,"['verb', 'adjective', 'noun']"
hyped,haɪpt,,"['verb', 'adjective']"
hyper,ˈhaɪpə,,"['adverb', 'noun', 'adjective']"
hyperactive,ˈhaɪpə(ɹ)ˌæktɪv,,['adjective']
hyperbola,haɪˈpɝbələ,,['noun']
hyperbole,haɪˈpɜːbəli,,['noun']
hyperbolic,ˌhaɪpɚˈbɑlɪk,,['adjective']
hypercube,ˈhaɪpəkjuːb,,['noun']
hyperinflation,eɪʃə,,['noun']
hypermarket,ˈhypermɑrket,,['noun']
hypermedia,iːdi,,['noun']
hypertension,ˌhaɪpə(ɹ)ˈtɛnʃən,,['noun']
hypertext,ˈhaɪpəɹˌtɛkst,,['noun']
hyperthyroid,aɪɹɔɪ,,['adjective']
hyperthyroidism,ˌhaɪ̯pəˈθaɪ̯ɹɔɪ̯ˌdɪzəm,,['noun']
hypertrophy,haɪˈpɜːtɹəfi,,"['verb', 'noun']"
hyperventilation,ˌhaɪpɚˌvɛntəˈleɪʃən,,['noun']
hypes,haɪps,,"['verb', 'noun']"
hyphen,ˈhaɪfən,,"['verb', 'conjunction', 'noun']"
hyphenate,ˈhʌɪf(ə)neɪt,,"['verb', 'noun']"
hyphenates,ˈhʌɪf(ə)neɪts,,"['verb', 'noun']"
hyphenation,ˌhaɪfəˈneɪʃən,,['noun']
hyping,ˈhaɪpɪŋ,,['verb']
hypnosis,hɪpˈnoʊsɪs,,['noun']
hypnotic,hɪpˈnɒtɪk,,"['adjective', 'noun']"
hypnotist,ˈhɪpnətɪst,,['noun']
hypnotize,ˈhɪpnətaɪ̯z,,['verb']
hypo,ˈhaɪpəʊ,,['noun']
hypoallergenic,haɪpəʊælə(ɹ)ˈdʒɛnɪk,,['adjective']
hypochondriac,ˌhaɪpəʊˈkɒndɹiæk,,"['adjective', 'noun']"
hypocrisies,ipɔkʁizi,,['noun']
hypocrisy,hɪˈpɒkɹəsi,,['noun']
hypocrite,ˈhɪpəkɹɪt,,"['adjective', 'noun']"
hypocritical,hɪpəˈkɹɪtɪkəl,,['adjective']
hypodermic,ˌhaɪpəˈdɝmɪk,,"['adjective', 'noun']"
hypoglycemic,ˌhaɪpəʊɡlaɪˈsiːmɪk,,"['adjective', 'noun']"
hypotenuse,haɪˈpɒtənjuːz,,['noun']
hypothalamus,ipɔtalamys,,['noun']
hypothermia,ˌhaɪpəʊˈθɜː(ɹ)miə,,['noun']
hypotheses,haɪˈpɒθəˌsiːz,,['noun']
hypothesis,haɪˈpɒθɪsɪs,,['noun']
hypothetical,ˌhaɪpəˈθɛtɪkl,,"['adjective', 'noun']"
hypothyroid,aɪɹɔɪ,,['adjective']
hypothyroidism,ˌhaɪpəˈθaɪɹɔɪˌdɪzəm,,['noun']
hyssop,ˈhɪsəp,,['noun']
hysterectomy,hɪstəˈɹɛktəmi,,['noun']
hysteria,hɨˈstɛɹijə,,['noun']
hysteric,hɪsˈtɛɹɪk,,"['adjective', 'noun']"
hysterical,hɪˈstɛɹɪkəl,,['adjective']
i,a,,"['noun', 'conjunction', 'verb', 'pronoun', 'preposition', 'adverb', 'letter']"
iPhone,ˈaɪˌfoʊ̯n,,['noun']
iPod,ajpɔd,,['noun']
iamb,ˈaɪəm,,['noun']
iambic,aɪˌæmbɪk,,"['adjective', 'noun']"
iambus,iˈambus,,['noun']
ibex,ˈaɪbɛks,,['noun']
ibid,ˈivʲiðʲ,,"['verb', 'adverb', 'noun']"
ibidem,iˈbiːdem,,"['adverb', 'noun']"
ibis,ˈaɪbɪs,,"['verb', 'noun']"
ibuprofen,ˌʌɪbjuːˈpɹəʊfən,,['noun']
ice,aɪs,,"['verb', 'noun']"
iceberg,ˈaɪsbɜːɡ,,['noun']
icebox,ˈʌɪsbɒks,,"['adjective', 'noun']"
icebreaker,ˈaɪsˌbɹeɪkəɹ,,['noun']
iced,ˈaɪst,,"['verb', 'adjective']"
ices,ˈaɪsɪz,,"['verb', 'noun']"
ichthyology,ˌɪkθiˈɒlədʒi,,['noun']
icicle,ˈʌɪsəkəl,,['noun']
icily,ˈaɪsɪli,,['adverb']
icing,ˈaɪsɪŋ,,"['verb', 'noun']"
icky,ˈɪki,,['adjective']
icon,ˈaɪkɒn,,['noun']
iconic,aɪˈkɒnɪk,,['adjective']
iconoclast,aɪˈkɒnəˌklæst,,['noun']
iconoclastic,æstɪ,,['adjective']
iconography,ɒɡɹəf,,['noun']
ictus,ˈɪktəs,,['noun']
icy,ˈaɪsi,,"['adverb', 'adjective']"
id,ɪd,,"['verb', 'adverb', 'noun', 'pronoun']"
idea,aɪˈdɪə,,"['verb', 'noun']"
ideal,iːə,,"['adjective', 'noun']"
idealist,idɛjaˈlist,,"['adjective', 'noun']"
ideally,ʌɪˈdɪəli,,['adverb']
ideals,aɪˈdiəlz,,"['adjective', 'noun']"
ideas,aɪˈdiəz,,"['verb', 'noun']"
idem,ˈɪdɛm,,"['verb', 'adverb', 'pronoun']"
idempotent,aɪdəmˈpoʊtənt,,"['adjective', 'noun']"
identical,ɪˈdɛntɪkl̩,,"['adjective', 'noun']"
identification,ɪˌdɛntɪfɪˈkeɪʃən,,['noun']
identified,aɪˈdɛntɪfaɪd,,['verb']
identifier,idɑ̃tifje,,"['verb', 'noun']"
identify,aɪˈdɛntɪfaɪ,,['verb']
identikit,aɪˈdentɪkɪt,,"['adjective', 'noun']"
identity,aɪˈdɛntəti,,['noun']
ideogram,ˈɪdiəɡɹæm,,['noun']
ideologue,ˈaɪdiəlɑɡ,,['noun']
ideology,aɪdiˈɑləd͡ʒi,,['noun']
ides,aɪdz,,"['verb', 'noun']"
idiocy,ˈɪdiəsi,,['noun']
idiom,ˈɪdɪəm,,['noun']
idiomatic,ˌɪdiəˈmætɪk,,"['adjective', 'noun']"
idiopathic,ˌɪdioʊˈpæθɪk,,['adjective']
idiosyncrasies,ˌɪdɪə(ʊ)ˈsɪŋkɹəsis,,['noun']
idiosyncrasy,ˌɪdɪə(ʊ)ˈsɪŋkɹəsi,,['noun']
idiot,ˈɪdi(j)ɪt,,"['adjective', 'noun']"
idiotic,ɪdiˈɑtɪk,,['adjective']
idiots,ˈɪdiːəts,,"['adjective', 'noun']"
idle,ˈaɪd(ə)l,,"['verb', 'adjective', 'noun']"
idleness,ˈaɪdəlnəs,,['noun']
idly,ˈaɪd(ə)lɪ,,['adverb']
idol,ˈaɪd(ə)l,,['noun']
idolater,ˌaɪˈdɑlətəɹ,,['noun']
idolatry,aɪˈdɒlətɹiː,,['noun']
idolize,ˈaɪdəlaɪz,,['verb']
idyll,ˈɪdɪl,,"['adjective', 'noun']"
idyllic,ɪˈdɪlɪk,,"['adjective', 'noun']"
if,ɪf,,"['conjunction', 'noun']"
iffy,ˈɪfi,,['adjective']
ifs,ɪfs,,['noun']
igloo,ˈɪɡluː,,['noun']
igneous,ˈɪɡniəs,,['adjective']
ignite,ɪɡˈnaɪt,,"['verb', 'adjective']"
ignition,ɪɡˈnɪʃən,,['noun']
ignoble,ɪɡˈnəʊbəl,,"['verb', 'adjective']"
ignominious,ɪɡnəˈmɪniəs,,['adjective']
ignominy,ˈɪɡnəˌmɪni,,['noun']
ignoramus,ɪɡnəˈɹeɪməs,,"['verb', 'noun']"
ignorance,ˈɪɡnəɹəns,,['noun']
ignorant,ˈɪɡnəɹənt,,"['verb', 'adjective', 'noun']"
ignore,ɪɡˈnɔː,,['verb']
ignored,ɪɡˈnɔɹd,,['verb']
ignoring,ɔːɹɪ,,"['verb', 'noun']"
iguana,ɪɡjuˈɑːnə,,"['verb', 'noun']"
ii,ˈiː,,"['noun', 'verb', 'interjection', 'pronoun', 'adverb', 'letter']"
ileum,ɪliə,,['noun']
ilia,iˈlia,,"['verb', 'noun']"
ilium,ˈɪlɪəm,,['noun']
ilk,ɪlk,,"['pronoun', 'adverb', 'noun', 'adjective']"
ill,ɪl,,"['verb', 'adverb', 'noun', 'adjective']"
illegal,ɪˈliːɡəl,,"['adjective', 'noun']"
illegally,ɪˈliːɡəli,,['adverb']
illegible,ɪˈlɛd͡ʒəbəl,,['adjective']
illegitimate,ɪlɪˈdʒɪtɪmət,,"['verb', 'adjective', 'noun']"
illiberal,ˈɪlibeʁaːl,,"['adjective', 'noun']"
illicit,ɪˈlɪsɪt,,"['verb', 'adjective', 'noun']"
illimitable,ɪˈlɪmɪtəbəl,,['adjective']
illiteracy,ɪˈlɪtəɹəsi,,['noun']
illiterate,ɪˈlɪtəɹət,,"['adjective', 'noun']"
illness,ˈɪlnəs,,['noun']
illnesses,ˈɪlnəsɪz,,['noun']
ills,ɪlz,,['noun']
illuminate,ɪˈl(j)umɪneɪt,,"['verb', 'adjective', 'noun']"
illuminated,ɪˈlumɪneɪtɪd,,"['verb', 'adjective']"
illuminating,ɪˈl(j)uːmɪneɪtɪŋ,,"['verb', 'adjective']"
illumination,ɪˌlumɪˈneɪʃən,,['noun']
illumine,ɪˈl(j)uːmɪn,,['verb']
illusion,ɪˈl(j)uːʒ(ə)n,,['noun']
illusionist,ɪs,,['noun']
illusive,ɪˈluːsɪv,,['adjective']
illusory,ɪˈluːs(ə)ɹi,,['adjective']
illustrate,ˈɪljʊˌstɹeɪt,,"['verb', 'adjective']"
illustrated,ˈɪləstɹeɪtɪd,,"['verb', 'noun']"
illustration,ˌɪləˈstɹeɪʃən,,['noun']
illustrative,ɪˈlʌstɹətɪv,,['adjective']
illustrator,ˈɪləˌstɹeɪtəɹ,,"['verb', 'noun']"
illustrious,ɪˈlʌstɹɪəs,,['adjective']
image,ˈɪmɪd͡ʒ,,"['verb', 'noun']"
imagery,ˈɪmɪdʒɹi,,['noun']
images,ˈɪmɪd͡ʒɪz,,"['verb', 'noun']"
imaginable,ɪˈmadʒɪnəbəl,,['adjective']
imaginal,ɪˈmadʒɪnəl,,['adjective']
imaginary,ɪˈmædʒɪn(ə)ɹi,,"['adjective', 'noun']"
imagination,ɪˌmædʒəˈneɪʃən,,['noun']
imaginative,ɪˈmæd͡ʒɪnətɪv,,['adjective']
imagine,ɪˈmæd͡ʒɪn,,"['verb', 'noun']"
imagined,ɪˈmædʒɪnd,,"['verb', 'adjective']"
imagines,ɪˈmeɪdʒɪniːz,,"['verb', 'noun']"
imago,ɪˈmeɪɡəʊ,,['noun']
imam,ˈiːmɑːm,,"['verb', 'adjective', 'noun']"
imbecile,ɪmbəˈsiːl,,"['adjective', 'noun']"
imbibe,ɪmˈbaɪb,,['verb']
imbiber,ɛ̃bibe,,"['verb', 'noun']"
imbroglio,ɪmˈbɹəʊljəʊ,,"['verb', 'noun']"
imbue,ɪmˈbjuː,,"['verb', 'adjective']"
imbued,uː,,['verb']
imitate,ˈɪmɪteɪt,,"['verb', 'adverb']"
imitation,ɪmɪˈteɪʃən,,['noun']
imitative,imitaːˈtiːu̯e,,['adjective']
imitator,imiˈtaːtor,,"['verb', 'noun']"
immaculate,ɪˈmækjəlɪt,,['adjective']
immanent,ˈɪmənənt,,"['verb', 'adjective']"
immaterial,ˌɪməˈtɪɹiəl,,['adjective']
immature,ɪməˈtjʊə(ɹ),,"['adjective', 'noun']"
immaturity,ɪməˈtʃʊɹɪti,,['noun']
immeasurable,ɪˈmɛʒəɹəbəl,,"['adjective', 'noun']"
immediacy,ɪˈmiːdiəsi,,['noun']
immediate,ɪˈmidiət,,['adjective']
immediately,ɪˈmiːdiətli,,"['adverb', 'conjunction']"
immemorial,ɪməˈmɔːɹiəl,,['adjective']
immense,ɪˈmɛns,,"['adjective', 'noun']"
immensely,ɪˈmɛnsli,,['adverb']
immerse,ɪˈmɜː(ɹ)s,,"['verb', 'adjective']"
immersion,ɪˈmɝʒən,,['noun']
immersive,ɜː(ɹ)sɪ,,['adjective']
immigrant,ˈɪmɪɡɹənt,,"['verb', 'adjective', 'noun']"
immigrate,ˈɪmɪɡɹeɪt,,"['verb', 'adjective', 'noun']"
immigration,ɪmɪˈɡɹeɪʃn,,['noun']
imminence,iminɑ̃s,,['noun']
imminent,ˈɪmɪnənt,,"['verb', 'adjective']"
immobile,imɔbil,,"['adjective', 'noun']"
immodest,ɪˈmɑdəst,,['adjective']
immolate,ˈɪməʊleɪt,,['verb']
immolation,eɪʃə,,['noun']
immoral,ɪˈmɒɹəl,,['adjective']
immorality,ɪməˈɹælɪti,,['noun']
immortal,ɪˈmɔɹtəl,,"['adjective', 'noun']"
immortality,ˌɪmɔːˈtæləti,,['noun']
immortalize,ɪˈmɔː(ɹ)təˌlaɪz,,['verb']
immovable,ɪˈmuːvəb(ə)l,,"['adjective', 'noun']"
immune,ɪˈmjuːn,,"['verb', 'adjective', 'noun']"
immunity,ɪˈmjuːnəti,,['noun']
immunodeficiency,ɪˌmjuːnəʊdɪˈfɪʃənsi,,['noun']
immunodeficient,ɪʃən,,['adjective']
immure,ɪˈmjʊə(ɹ),,"['verb', 'noun']"
immutable,imytabl,,"['adjective', 'noun']"
immutably,ɪˈmjuːtəblɪ,,['adverb']
imp,ɪmp,,"['verb', 'noun']"
impact,ˈɪmpækt,,"['verb', 'noun']"
impair,ɪmˈpɛə,,"['verb', 'adjective']"
impala,ɪmˈpɑːlə,,"['verb', 'noun']"
impale,ɪmˈpeɪl,,['verb']
impaled,ɪmˈpeɪld,,"['verb', 'adjective']"
impales,ɪmˈpeɪlz,,"['verb', 'noun']"
impaling,ɪmˈpeɪlɪŋ,,"['verb', 'noun']"
impalpable,ɛ̃palpabl,,['adjective']
impart,ɪmˈpɑːt,,['verb']
impartial,ɪmˈpɑɹʃəl,,['adjective']
impasse,ˈæmpɑːs,,['noun']
impassible,ɪmˈpasɪbəl,,['adjective']
impassive,ɪmˈpæsɪv,,['adjective']
impasto,imˈpasto,,"['verb', 'noun']"
impatience,ɪmˈpeɪʃəns,,['noun']
impatiens,imˈpatiens,,"['adjective', 'noun']"
impatient,ɪmˈpeɪʃənt,,"['adjective', 'noun']"
impatiently,ɪmˈpeɪʃəntli,,['adverb']
impeach,ɪmˈpiːtʃ,,['verb']
impeachment,ɪmˈpiːtʃmənt,,['noun']
impeccable,ɪmˈpɛkəbəl,,['adjective']
impeccably,ɪmˈpɛkəbli,,['adverb']
impecunious,ˌɪmpəˈkjuːniəs,,['adjective']
impedance,ɪmˈpiːdn̩s,,['noun']
impede,ɪmˈpiːd,,['verb']
impediment,ɪmˈpɛdɪmənt,,['noun']
impedimenta,ɪmˌpɛdɪˈmɛntə,,['noun']
impeding,iːdɪ,,['verb']
impel,ɪmˈpɛl,,['verb']
impelled,ɪmˈpɛld,,['verb']
impeller,ɛlə(ɹ,,['noun']
impelling,ɪmˈpɛlɪŋ,,['verb']
impels,ɪmˈpɛlz,,['verb']
impend,ɪmˈpɛnd,,['verb']
impending,ɪmˈpɛndɪŋ,,"['verb', 'adjective', 'noun']"
impenetrable,ɪmˈpɛnətɹəbəl,,"['adjective', 'noun']"
impenitent,ɪmˈpɛnɪtənt,,"['adjective', 'noun']"
imper,ɛ̃pɛʁ,,['noun']
imperative,ɪmˈpɛɹətɪv,,"['adverb', 'noun', 'adjective']"
imperatives,impəɾəˈtivəs,,"['adjective', 'noun']"
imperceptible,impəɾsəpˈtiblə,,['adjective']
imperfect,ɪmˈpɜː(ɹ)fɪkt,,"['verb', 'adjective', 'noun']"
imperfection,ɪmpɚˈfɛkʃən,,['noun']
imperial,ɪmˈpɪɹiəl,,"['adjective', 'noun']"
imperialism,ɪmˈpɪɹiəˌlɪzm̩,,['noun']
imperialist,ɪmˈpɪəɹiəlɪst,,"['adjective', 'noun']"
imperialistic,ɪmˌpɪəɹiəlˈɪstɪk,,['adjective']
imperil,ɪmˈpɛɹ əl,,['verb']
imperious,ɪmˈpɪəɹiəs,,['adjective']
impermanence,ɛ̃pɛʁmanɑ̃s,,['noun']
impermanent,ɛ̃pɛʁmanɑ̃,,['adjective']
impermeability,ɪmˌpɝmiəˈbɪlɪti,,['noun']
impermeable,impəɾmeˈablə,,"['adjective', 'noun']"
impermissible,ˌɪmpɝˈmɪsɪbl,,['adjective']
impersonal,ɪmˈpɝsənəl,,"['adjective', 'noun']"
impersonate,ɪmˈpɜːsəneɪt,,['verb']
impersonation,eɪʃə,,['noun']
impertinence,ɪmˈpɜːtɪnəns,,['noun']
impertinent,ɪmˈpɜːtɪnənt,,"['adjective', 'noun']"
imperturbable,ˌɪmpəˈtɜːbəbəl,,['adjective']
impervious,ɪmˈpɜːviəs,,['adjective']
impetigo,ɪmpɪˈtaɪɡəʊ,,['noun']
impetuous,imˈpɛtʃuəs,,['adjective']
impetus,ˈɪmpətəs,,['noun']
impiety,aɪɪt,,['noun']
impinge,ɪmˈpɪndʒ,,['verb']
impingement,ɪmˈpɪnd͡ʒmənt,,['noun']
impious,ˈɪmpiəs,,['adjective']
impish,ˈɪmpɪʃ,,['adjective']
implacable,ɪmˈplækəb(ə)l,,['adjective']
implant,ɪmˈplɑːnt,,"['verb', 'noun']"
implantation,ɪmplɑːnˈteɪʃ(ə)n,,['noun']
implement,ˈɪmpləmənt,,"['verb', 'noun']"
implementation,ˌɪmplɪmənˈteɪʃn,,['noun']
implementer,ˈɪmplɪmentəɹ,,"['verb', 'noun']"
implements,ˈɪmpləmənts,,"['verb', 'noun']"
implicate,ˈɪmplɪkeɪt,,"['verb', 'noun']"
implication,ˌɪmpləˈkeɪʃən,,['noun']
implicit,ɪmˈplɪsɪt,,['adjective']
implied,ɪmˈplaɪd,,"['verb', 'adjective']"
implies,ɪmˈplaɪz,,['verb']
implore,ɪmˈplɔː,,['verb']
implosion,ɛ̃plozjɔ̃,,['noun']
implosions,ɛ̃plozjɔ̃,,"['verb', 'noun']"
imply,ɪmˈplaɪ,,['verb']
impolite,ɪmpəˈlaɪt,,['adjective']
impolitic,ɪmˈpɒlɪtɪk,,['adjective']
imponderable,ɪmˈpɒndəɹəbl,,"['adjective', 'noun']"
import,ˈɪmpɔːt,,"['verb', 'noun']"
importance,ɪmˈpɔːtəns,,['noun']
important,ɪmˈpɔːtənt,,"['verb', 'adjective']"
importation,eɪʃə,,['noun']
imported,ɪmˈpɔːtɪd,,['verb']
importer,ɪmˈpɔː(ɹ)tə(ɹ),,"['verb', 'noun']"
importunate,ɪmˈpɔːtjʊnət,,"['verb', 'adjective']"
importune,ɪmpɔːˈtjuːn,,"['verb', 'adjective']"
importunity,ɪmpɔːˈtjuːnɪti,,['noun']
impose,ɪmˈpoʊz,,['verb']
imposed,ɪmˈpoʊzd,,['verb']
imposer,ɛ̃poze,,"['verb', 'noun']"
imposes,imˈpɔzəs,,['verb']
imposing,ɪmˈpoʊzɪŋ,,"['verb', 'adjective']"
imposition,ɪmpəˈzɪʃən,,['noun']
impossibility,ɪmˌpɒsɪˈbɪliti,,['noun']
impossible,ɪmˈpɒsɪbəl,,"['adjective', 'noun']"
impost,ˈɪmpəʊst,,['noun']
impostor,ɪmˈpɒstə,,['noun']
impotence,ˈɪmpətəns,,['noun']
impotent,ˈɪmpətənt,,"['adjective', 'noun']"
impound,ɪmˈpaʊ̯nd,,"['verb', 'noun']"
impoverished,ɪmˈpɑvəɹɪʃt,,"['verb', 'adjective']"
impracticable,ɪmˈpɹaktɪkəb(ə)l,,"['adjective', 'noun']"
impracticality,ɪmˌpɹæktəˈkæləti,,['noun']
imprecate,ˈɪmpɹəkeɪt,,['verb']
imprecation,ˌɪmpɹɪˈkeɪʃən,,['noun']
imprecise,ɪmpɹɪˈsaɪs,,['adjective']
imprecision,ɪʒə,,['noun']
impregnable,ɪmˈpɹɛɡnəbəl,,['adjective']
impregnate,ɪmˈpɹɛɡneɪt,,['verb']
impregnation,ɪmpɹɛɡˈneɪʃən,,['noun']
impresario,ˌɪmprɪˈsɑːrɪəʊ,,['noun']
impress,ɪmˈpɹɛs,,"['verb', 'noun']"
impressed,ɪmˈpɹɛst,,"['verb', 'adjective']"
impression,ɪmˈpɹɛʃən,,"['verb', 'noun']"
impressionability,ɪmpɹɛʃʌnʌbɪlɪti,,['noun']
impressions,ɪmˈpɹɛʃənz,,"['verb', 'noun']"
impressive,ɪmˈpɹɛsɪv,,['adjective']
imprimatur,ˌɪmpɹɪˈmeɪtə,,"['verb', 'noun']"
imprint,ˈɪmpɹɪnt,,"['verb', 'noun']"
imprinted,ɪmˈpɹɪntɪd,,"['verb', 'adjective']"
imprison,ɪmˈpɹɪzən,,['verb']
imprisoned,ɪmˈpɹɪzənd,,['verb']
imprisoning,ɪmˈpɹɪzənɪŋ,,['verb']
imprisonment,ɪmˈpɹɪzn̩mənt,,['noun']
imprisons,ɪmˈpɹɪzənz,,['verb']
improbable,ɪmˈpɹɑbəbl̩,,['adjective']
impromptu,ɪmˈpɹɒmptju,,"['adjective', 'noun']"
improper,ɪmˈpɹɒpə,,"['verb', 'adjective']"
improve,ɪmˈpɹuːv,,['verb']
improved,ɪmˈpɹuːvd,,"['verb', 'adjective']"
improvement,ɪmˈpɹuːvmənt,,['noun']
improvements,ɪmˈpɹuːvmənts,,['noun']
improvident,ɪmˈpɹɒvɪdənt,,['adjective']
improving,ɪmˈpɹuːvɪŋ,,"['verb', 'adjective']"
improvisation,eɪʃə,,['noun']
improvise,ˈɪmpɹəvaɪz,,"['verb', 'adjective']"
improviser,ɛ̃pʁɔvize,,"['verb', 'noun']"
improvises,ɛ̃pʁɔviz,,['verb']
imprudence,ɪmˈpɹuːdn̩s,,['noun']
imprudent,ɪmˈpɹudənt,,['adjective']
imps,ɪmps,,"['verb', 'adverb', 'noun']"
impudence,ˈɪmpjədəns,,['noun']
impudent,ˈɪmpjədənt,,['adjective']
impugn,ɪmˈpjun,,['verb']
impulse,ˈɪmpʌls,,"['verb', 'noun']"
impulses,ˈɪmpʌlsɪz,,"['verb', 'noun']"
impulsion,ɛ̃pylsjɔ̃,,['noun']
impulsive,ɪmˈpʌlsɪv,,"['adjective', 'noun']"
impunity,ɪmˈpjuːnɪti,,['noun']
